2019,Intro Asian American Studies,Fall,66,3.91909090909091,100,AAS,"Boonsripaisal, Simon","Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.
2019,Intro Asian American Studies,Fall,63,3.83095238095238,100,AAS,"Uhall, Michael B","Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.
2019,Intro Asian American Studies,Fall,57,3.27508771929825,100,AAS,"Kang, Yoonjung","Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.
2019,Intro Asian American Studies,Fall,68,3.60279411764706,100,AAS,"Park, Doo Jae","Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.
2019,Asian American Youth in Film,Fall,69,3.78739130434783,246,AAS,"Kwon, Soo Ah",Examines both mainstream and independent films and documentaries representing and/or produced by Asian American youth. Explores the role of multiculturalism and diversity issues in informing young people's experiences.,3 hours.
2019,Food and Asian Americans,Fall,68,3.78911764705882,287,AAS,"Sharif, Lila A","Introduction to the interdisciplinary study of food to better understand the historical, social, and cultural aspects of Asian American food preparation, distribution and consumption. Students will investigate the politics and poetics of Asian American foodways by examining social habits, and rituals around food in restaurants, ethnic cookbooks, fictional works, memoirs, magazines, and television shows. Prerequisite: AAS 100 or AAS 120, or consent of instructor.",3 hours.
2019,"Immigration, Law, and Rights",Fall,29,3.03448275862069,370,AAS,"Paik, Angela N","Exploration of the histories, cultures, and experiences of immigration to the United States by examining cultural production (literary and visual narratives and texts) alongside legal discourses (legislation, federal court cases). Same as LLS 372.",3 hours.
2019,Intro Agric & Biological Engrg,Fall,44,3.75,100,ABE,"Green-Miller, Angela","Introduction to the engineering profession with career opportunities in the agricultural and biological engineering discipline. Concepts necessary for becoming a successful engineer including time management, design concepts, ethics, and teambuilding. Familiarization with laboratories, computer facilities, internships, and other opportunities. Team design experience. Emphasis on technical communication and problem-solving skills as well as career planning.",1 hours.
2019,Water in the Global Environ,Fall,27,3.96296296296296,199,ABE,"Kalita, Prasanta K",May be repeated to a maximum of 12 hours.,1 TO 5 hours.
2019,ABE Principles: Machine Syst,Fall,43,3.3953488372093,223,ABE,"Grift, Tony E","Machinery systems for off-road applications: internal combustion engines; fluid power; tractors, and traction; chemical application; grain harvesting. Prerequisite: One of MATH 220, MATH 221, MATH 234.",2 hours.
2019,ABE Principles: Soil & Water,Fall,48,3.58979166666667,224,ABE,"Kalita, Prasanta K","Engineering principles and methods of design and management of natural resources and environmental systems; watershed and hydrologic cycle; infiltration and surveying; runoff and erosion; water quality; non-point source pollution. Prerequisite: One of MATH 220, MATH 221, MATH 234.",2 hours.
2019,Project Management,Fall,100,3.8269,430,ABE,"Davidson, Paul C","Engineering team effectiveness; project definition; assessing related technologies; marketing and business planning related to engineering; budgeting and financial analyses of engineering projects; safety, ethics and environmental considerations; intellectual property; engineering proposal presentation. Same as TSM 430. 2 undergraduate hours. 2 graduate hours.",2 hours.
2019,Renewable Energy Systems,Fall,51,3.34627450980392,436,ABE,"Wang, Xinlei","Renewable energy sources and applications, including solar, geothermal, wind, and biomass. Renewable energy's role in reducing air pollution and global climate change. Capstone project to design a system for converting renewable energy into thermal or electrical energy. 3 undergraduate hours. 4 graduate hours. Credit is not given for both ABE 436 and TSM 438. Prerequisite: PHYS 211.",3 OR 4 hours.
2019,Bioprocessing Biomass for Fuel,Fall,25,3.786,488,ABE,"Singh, Vijay",Engineering and scientific principles governing bioprocessing of biomass for production of ethanol and other fermentation products. Process unit operations, conventional and alternative feed stock materials
2019,Eng Design for Solar SmartHome,Fall,41,3.90292682926829,498,ABE,"Wang, Xinlei",Subject offerings of new and developing areas of knowledge in agricultural and biological engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary to a maximum of 16 hours.,1 to 4 hours.
2019,Fundamentals of Accounting,Fall,275,3.16043636363636,200,ACCY,"Silhan, Peter A",Survey course in the principles of accounting for students registered in schools and colleges other than the College of Business. Credit is not given for both ACCY 200 and either ACCY 201 or ACCY 202. Prerequisite: Sophomore standing.,3 hours.
2019,Accounting and Accountancy I,Fall,604,2.82407284768212,201,ACCY,"Fisher, Mitchell B","Introduction to the role of accounting information in establishing organization objectives and goals and identification of strategies to best achieve such objectives and goals. Topics focus on the utility of information necessary for the formation, execution and monitoring of the variety of contracts embedded in organization strategies. Projects facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes. Credit is not given for both ACCY 201 and ACCY 200. Prerequisite: Prior to enrollment in ACCY 201, students must: 1) have completed either ECON 102 or ECON 103; AND 2) have completed or be concurrently enrolled in the remaining ECON 102 or ECON 103 course.",3 hours.
2019,Accounting and Accountancy II,Fall,250,3.20528,202,ACCY,"Shapland, Julia P","Continuation of ACCY 201 with focus on strategic management of economic resources, together with acquisition of such resources, and financial and non-financial measures of organizational performance. Credit is not given for both ACCY 202 and ACCY 200. Prerequisite: ACCY 201 or equivalent.",3 hours.
2019,Atg Measurement & Disclosure,Fall,58,3.29913793103448,301,ACCY,"Davis, Gregory L","Introduction to measurement and reporting of organizational performance for strategic and operational purposes with a focus on a variety of financial and non-financial performance measures suitable for both internal and external decision-making. Projects, together with a series of practical workshops, facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes. Prerequisite: ACCY 202 or equivalent and recommend concurrent enrollment in ACCY 302 for Accountancy majors.",3 hours.
2019,Atg Measurement & Disclosure,Fall,91,3.38846153846154,301,ACCY,"Wang, Zhiguang","Introduction to measurement and reporting of organizational performance for strategic and operational purposes with a focus on a variety of financial and non-financial performance measures suitable for both internal and external decision-making. Projects, together with a series of practical workshops, facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes. Prerequisite: ACCY 202 or equivalent and recommend concurrent enrollment in ACCY 302 for Accountancy majors.",3 hours.
